"","matrix.ncol...1..nrow...1000."
"817","6Q0,11CM0,4C0,1BJ0,13BGQ0,11AHZ0,4C0,2Q0,1HQ0"
"818","7Y0,11OV0,13BF0,7Y0,3BGR1,4AI0,2O0,4AI0,1CY1"
"819","8A0,11AD0,12ABZ0,2Q0,4AF0,9Q0,1CN0,10I0"
"820","8A0,11CR0,4C0,2O0,1AJV0,7Q0,4C0,7Q0"
"821","8S0,11DM0,4AF0,12KT0,3BGS1,7A0,1KQ0"
"822","11P1"
"823","4AY1,6AB1,1AGU0,3BGT0"
"824","11P0,4Y0,1FT0,8I0,13U0,7V0,3BGU0,7V0"
"825","8AT0,11BGV0,13AO0,7Y0,12BGW0,4CL0,3BGX0,3OZ1"
"826","6Q0,11AD0,12BGY0,14BP0,4C0,6Q0,7Q0"
"827","8I1,4C1,3BGZ0,1BW0"
"828","11NS0,4AI0,1IM0,8I0,2Q0,3BHI1,7BS0,3BHJ0,7BS0"
"829","11P0,4S0,7AF0,4S0,13AKL0,2AB0,8I0"
"830","11NX0,4O0,4O0,14BP0,14BP0,7AT0"
"831","8AT0,11B0,13E0,4AI0,12AE0,7O0,4AI0"
"832","8A0,11CM0,4AI0,14BP0,7Y0,11BHK0,13EL0,7Y0"
"833","8A0,11AD0,4AI0,12AE0,13U0,7AV0,7AV0"
"834","6I0,11B0,1H0,4CL0,7AV0"
"835","8AT0,11KU0,13U0,4C0,3BHL1,1KS0,7V0"
"836","8AT0,11B0,7O0,13FT0"
"837","4CL0,11ABY0,7BS0,13FM0,3BHM1,3BHN0"
"838","8A0,11B0,4AI0,12UY0,6Q0,7Y0,13E0"
"839","8A0,11B0,7AT0,9Q0,13E0,7AT0"
"840","11CZ0,7S0,4I0,14BP0,4I0,9Q0"
"841","6Q0,11ALP0,12AU0,4CL0,13ACO0,6Q0"
"842","6Q0,11ACP0,4AI0,2Q0,3BHO1,7Y0,13N0,8AT0"
"843","11P1"
"844","8S0,11P0,12GI0,2Q0,14BHP0,7V0,14BHP0,4Y0,2Q0,13AGY1,7V0"
"845","7Q1,1EF1,2S1"
"846","4AI0,11G0,13K0,7Q0,7Q0"
"847","6Q0,4CL0,11BHQ0,12KL0,13E0,13AFL1,7AF0"
"848","8A0,4CL0,11FK0,1BI0,7Y0,3BHR1,4CL0"
"849","8Q0,11DX0,4CL0,7AY0,1N0,13E0"
"850","8S0,11OV0,13BW0,7AV0,4Q0,7AV0"
"851","8S0,4CL0,11BHS0,1HQ0,14BP0,12X0,7A0,13E0"
"852","11P0,1IM0,4AI0,3BHT1,7AV0,7AV0"
"853","7AV0,1ES0,12MQ0,11G0,7AV0,8I0,13FM0,3BHU1"
"854","4Y1,6AB1,1BHV1"
"855","8A0,11CR0,1H0,12BHW0,6Q0,1DW0"
"856","6AT0,11CV0,7C0,3BHX1,7C0"
"857","8A0,11CR0,4AI0,7AV0,14BP0,12BGY0,1CH0,2Q0,3BHY1,7AV0"
"858","5ALV0,11ALR0,7AF0,8I0,2AB0,4BS0,7AF0"
"859","8S0,11CI0,14MU0,12BHZ0,4AI0,7A0,9Q0,4AI0,6AB0"
"860","11CZ1,8I1,7AV1,1CQ1,1TV0,1GL0"
"861","13BFT1,2Q1"
"862","8A0,11CI0,4Y0,14BP0,7V0,11B0,3BIJ0,2Q0"
"863","4AY1,6AB1,1DW1,7V1,3BIK1,2Q1"
"864","11G0,1ES0,14BP0,8I0,13BJ0,1DW0,2Q0,4AI0,3BIL0"
"865","5BG1,7Y1,3BIM0,3BIN1"
"866","6I0,11WZ0,5JU0,12CT0,14BP0,4AV0,3BIO1"
"867","4AI0,11G0,1ES0,13KS0,14BP0,7AV0"
"868","2S1,7Q1,13BJ0"
"869","8A0,11DU0,7AF0,6Q0"
"870","11G0,1IM0,4AI0,12AOP0,3BIP0,14BP0,3BIQ0,7AV0"
"871","8Q0,11BIR0,4CL0,12HW0,13ANZ0,4CL0,2AB0,7Q0"
"872","6I0,13U0,14BP0,7A0"
"873","12X1"
"874","8Q0,11P0,4CL0,2Q0,13AH0"
"875","8Q0,11ABC0,4CL0,7S0,3BIS1,2O0,3BIT0,13CH0"
"876","8S1,1KY1,7V1"
"877","4Y1,6AB1,7Q1,14BP1,3BIU1"
"878","6O0,11B0,4S0,7AF0,14BP0,7AF0"
"879","8AT0,11B0,4AI0,13BV0,13U0"
"880","4CL0,11P0,2Q0,7Q0,14BP0,3BIV0,4CL0,13BV0"
"881","13ALU1,2S1,1N0"
"882","8A0,11AD0,14BP0,13E0,7AY0,6I0,8A0,13CY0"
"883","4C1,6AB1,7Q1,1IN0,13KS0,14BP1,2O1"
"884","4AV1,7Q1,6AB1,4AV1"
"885","1KQ0,11AGP0,4CL0"
"886","6I0,11AD0,4AI0,12BIW0,2Q0,11B0,1DW0"
"887","11G0,1IM0,12BIX0,7AT0,14MU0"
"888","8Q0,11ABC0,12BO0,4I0,13ST0,12BIY0,13N0,2Q0,4I0"
"889","1KQ0,11BIZ0,14BP0,2Q0,7AY0"
"890","6Q0,4AI0,13AG0,1AQU0,7AF0"
"891","2S1,6AB1,1IN0"
"892","4AI0,11G0,13BQ0"
"893","14AQ1,2Q1"
"894","8I1,7AT1,13H0,4AI1,3BJK0"
"895","8A0,11LM0,12AEY0,7BS0,14BP0,12BIY0"
"896","12HP1,6O1,7Q1"
"897","11WX0,7AT0,8I0,13AH0,1ES0,2Q0,14BP0,12BJL0,4AI0,3BJM1,3BJN1"
"898","8Q0,11W0,4AI0,7AY0,4AI0,2Q0,13IM1"
"899","8A0,11B0,4CL0,12KL0,7Y0,6Q0,1DL0,4CL0"
"900","8A0,11AD0,1HQ0,14BP0,3BJO1,6Q0,7Q0"
"901","4Y1,8I1,7V1"
"902","8A0,7AF0,13AOW0,11BJP0,4AI0,6O0,1F1"
"903","6I0,11AD0,14BP0,12AU0,7O0"
"904","8A0,11AUY0,4AI0,2Q0,12M0,6Q0,2Q0"
"905","6Q0,11BGV0,12JK0,7A0,13N0"
"906","8Q0,11BJQ0,12M0,14BP0,7S0,7S0"
"907","7AI1,6O1,8A1,1HJ0"
"908","8A0,11BDU0,4AF0,12BO0,7AF0,13E0"
"909","6Q0,11AD0,4AI0,13E0,7AT0"
"910","6I0,11AHZ0,13E0,13KY0,8Q0"
"911","8Q0,11L0,4AI0,7AT0,2Q0,6I0,9Q0"
"912","8A0,11AD0,13BF0,13BDY1,7V0,1DR0,2Q0,10I0"
"913","8A0,11DU0,12AFS0,7Y0,14BP0,9Q0,4C0,3BJR1,14BP0"
"914","7AV0,11OV0,8I0,4AF0,2Q0,9Q0,13CH0,3BJS0"
"915","4AI0,11ASV0,13DW0"
"916","6AB1,7A1,13U1,7A1,3BJT0,2Q1"
"917","8A0,11AD0,7Q0,4AI0,3BJU1,2Q0,1FM0"
"918","8I1,7Q1,13CH1,3BJV0"
"919","8A0,11AD0,12CJ0,13AH0,14BP0,1ACF0,7V0,4Y0,2Q0"
"920","2A1,7Q1,6I1,1E0"
"921","7AV0,11OV0,1FT0,4CL0,13LZ0,7AV0,2Q0,1MV1"
"922","11G1,8I1"
"923","8AT0,11JZ0,1K0"
"924","4V1,4V1"
"925","8S1,7V1"
"926","6Q0,12CT0,11FL0,3BJW0,4C0,14BP0,2AB0,3BJX0"
"927","8AT0,11OV0,7AF0,3BJY1,13AG0,6Q0,4AI0,1N0"
"928","7A0,11P0,13CE0,8I0,7A0,14BP0,2Q0,4C0"
"929","8A0,11ADT0,12AE0,4AI0,11HR0,2Q0,4AI0,7AV0"
"930","8I1,7Q1,1HQ1,1FT0"
"931","11G1,7AT1"
"932","11G0,7Y0,1KQ0,3BJZ0"
"933","6I0,11CI0,4AI0,12BKL0,7AV0"
"934","6Q0,11CI0,7AY0,12BKM0,1NO0"
"935","11BKN1,7AV1,3BKO1,4AI1,1AHU1"
"936","7V1,8I1,3BKP0,1FT1,14BP1,4CL1,2Q1"
"937","1HQ0,13BF0,11ACX0,8I0,12BKQ0,4Y0,14BP0,4Y0,7V0,3BKR0,9Q0"
"938","4S0,11G0,13BJ0,14BP0,2Q0,7O0,3BKS0"
"939","8S1,4AF1,1KQ1"
"940","8Q0,11B0,4AI0,4AI0,6O0,6O0"
"941","8A0,11HM0,7AT0,12CT0,14BP0,2Q0,3BKT1,4AI0,1CN0,4AI0"
"942","8A0,11AD0,14BKU0,12ADF0,4CL0,7AT0,6Q0,13LZ0,7AT0,3BKV1"
"943","4Y1,2AB1,8I1,1BM1"
"944","6S0,11LM0,13E0,4AI0,11DU0,14BP0,1AOW0,7Y0"
"945","11G0,7AF0,1DV0,4CL0,12DJ0,11XZ0,13IN0,9Q0,7AF0,3BKW0"
"946","8Q0,11AD0,7AV0,1BKX0,12AU0,6Q0,14BP0"
"947","11WX0,5BG0,7AF0,12NP0,8I0,2Q0,2Q0,3BKY0"
"948","7Q1,3BKZ1,1JS1,4AI1"
"949","8S0,11CI0,4I0,7A0,11WX0,12CX0,1AJ0,14BP0,3BLM0,7A0,4I0"
"950","8A0,11BLN0,7Y0,6AT0,1AP0"
"951","8A0,11JZ0,13BW0,12BLO0,1FI0,6Q0"
"952","8AT0,11BIR0,14BP0,4AV0,1BW0,6Q0"
"953","8A0,11CV0,4CL0,12CT0,13EP0,1DV0"
"954","6Q0,11AHN0,7AF0,3BLP0,13EL0"
"955","6Q0,11L0,7AF0,1DL0,4AI0,4AI0,8A0,7AF0"
"956","6I0,11BLQ0,7C0,14BP0,13FM0"
"957","8A0,11AD0,13FM0,7AF0"
"958","6Q0,11AD0,12CT0,13E0,3BLR1,4CL0,7AV0"
"959","8A0,11CK0,13ANS0,14BP0,4CL0,13CY0,14BP0,4CL0,3BLS0"
"960","11P1"
"961","8A0,11AD0,4CL0,12BFH0,13BW0,7BS0"
"962","6I0,11AD0,4AY0,12MN0,7V0,1NO0,3BLT1"
"963","7AF0,8I0,11ABV0,7AF0,4CL0,9Q0,3BLU1,13BJ0"
"964","8A0,4CL0,7Y0,6Q0,13BZ0,2Q0,3BLV0"
"965","12MQ1,12BLW0,2Q1"
"966","7AV0,14BP0,13BF0,11NZ0,4AI0,2Q0,1AP1"
"967","14AB1,1AIU1"
"968","11P1"
"969","13KV1,4CL1,7Y1,6AB1,9Q1,1ES1"
"970","6I0,11HM0,7AT0,13CN0,3BLX1"
"971","11P0,1DW0,12HP0,8I0,2Q0,11NS0,13E0,7Y0,1AFX1"
"972","1DW0,11BLY0,4AB0,4AB0"
"973","8A0,11B0,12M0,4AF0,1BW0,7AT0,13FM0"
"974","12CX1,14BP1,3BLZ0"
"975","13N1,7AT1,1DV1,10A1,2Q1,3BMN1"
"976","4AI0,11P0,2O0,13H0,12VW0,2O0,7Q0,7Q0"
"977","7AV0,11G0,7AV0,4AI0,8I0,3BMO0,13QS0,3BMP1,3BMQ0,3BMR1"
"978","11HK0,7AF0,12IW0,8I0,2Q0,1BV0,4AI0"
"979","8Q0,13CN0,14BP0,11BMS0,7AF0,4AV0"
"980","13BI1,3BMT0,3BMU1"
"981","8AT0,11L0,13EP0,12LU0,7AF0,6Q0"
"982","4AY1,1HU0,1CE0"
"983","7AY0,11W0,8I0,1BQ0,4AB0,4AB0"
"984","11P0,1DW0,4C0,8I0,7Q0,2Q0,7Q0"
"985","8A0,11GU0,12BE0,14BP0,4AV0,2Q0,4AV0,6I0,7BS0"
"986","8AT0,11AD0,13FM0,4C0,3BMV0"
"987","12CF1,2Q1,6AB1,7AT1"
"988","8I1,13N1,7AT1,4AI1,13AO0,1CP1,1IN0"
"989","12CF1"
"990","8AT0,11AGV0,4A0,7A0,12BMW0,7A0,12AHP0,7A0"
"991","6Q0,11AD0,4CL0,14BP0,12BMX0,13BW0,4CL0"
"992","8A0,11FK0,12BGW0,4C0,1AOW0,7Y0,3BMY0"
"993","8AT0,11L0,12AU0,14AQT0,2Q0,1FM0,4C0,3BMZ1"
"994","11P0,7AT0,3BNO0,4AI0,3BNP0"
"995","4AF1,7V1,6AB1,9Q1,8S1"
"996","6S0,11B0,4C0,1CY0,7V0,6S0,7V0"
"997","8A0,11HV0,4AI0,13U0,12M0,7Q0,4AI0"
"998","11P0,7S0,7S0,11BNQ0,13DR0,4AI0,7S0"
"999","7AI1,2AB1,6AB1"
"1000","1DV0,13BW0,3BNR0,4CL0,8I0,3BNS1,11BNT0,7A0,6AB0"
